ID,Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income
507,2004,Swasta,223811,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
508,1964,Pengusaha berbadan hukum,93272,kelas 7-8,SMP_1,Menikah,Sales,Suami,1,Male,0,0,60,United-States,3,<=50K
509,1990,Swasta,314646,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K
510,1971,Swasta,355802,Diploma,Kuliah,Duda/Janda,Sales,Belum Menikah,1,Female,0,0,30,United-States,0,<=50K
511,1985,Swasta,306646,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,3103,0,50,United-States,2,>50K
512,1987,Swasta,234901,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,50,Germany,3,>50K
513,1968,Pemerintah daerah,370045,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,>50K
514,1993,Pemerintah pusat,101345,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Female,0,0,40,United-States,0,<=50K
515,1996,Pemerintah daerah,154863,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,2,Male,0,0,40,Trinadad&Tobago,3,>50K
516,1971,Swasta,79324,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,>50K
517,1989,Swasta,156728,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0,<=50K
518,1988,,94954,Asosiasi vokasional,vokasi Grad_2,Duda/Janda,,Tidak dalam Keluarga,1,Female,0,0,20,United-States,1,<=50K
519,1999,Swasta,469697,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,2,<=50K
520,1981,Pengusaha berbadan hukum,151089,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0,<=50K
521,1977,Swasta,105381,SMA Grad,SMA Grad,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K
522,1987,Swasta,348796,Sarjana,Sarjana,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1,<=50K
523,1977,Swasta,187969,kelas 11,SMA_2,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,38,United-States,1,<=50K
524,1986,Swasta,607848,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,2,>50K
525,1999,Pemerintah daerah,77698,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K
526,1988,Swasta,405155,kelas 5-6,SD_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,Mexico,0,<=50K
527,1999,Swasta,251915,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,0,<=50K
528,1969,Pemerintah negara,26290,Asosiasi vokasional,vokasi Grad_2,Duda/Janda,Eksekutif Manager,Tidak dalam Keluarga,4,Female,0,0,38,United-States,0,<=50K
529,2004,Swasta,188300,Diploma,Kuliah,Belum-menikah,Dukungan Teknis,Punya Anak,1,Female,0,0,40,United-States,0,<=50K
530,1994,Pengusaha perorangan,523095,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,45,United-States,0,<=50K
531,1992,Swasta,154087,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,1,<=50K
532,1967,Swasta,49893,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,1,>50K
533,2004,Swasta,528616,kelas 5-6,SD_2,Belum-menikah,Layanan Lainnya,Kerabat,1,Male,0,0,40,Mexico,0,<=50K
534,1999,,344719,SMA Grad,SMA Grad,Menikah,,Istri,1,Female,0,0,4,United-States,2,<=50K
535,1994,Swasta,329425,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K
536,2005,Swasta,187352,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K
537,2005,Swasta,279968,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,20,United-States,0,<=50K
538,1990,Swasta,155151,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,>50K
539,1997,Swasta,195337,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
540,1992,Swasta,184440,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,3464,0,40,United-States,2,<=50K
541,1974,Swasta,35224,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K
542,1991,Pengusaha perorangan,167476,kelas 11,SMA_2,Cerai,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,7,United-States,2,<=50K
543,1980,Swasta,71269,Diploma,Kuliah,Cerai,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,<=50K
544,1984,Pemerintah daerah,27444,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,>50K
545,1992,Swasta,147284,Asosiasi vokasional,vokasi Grad_2,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0,>50K
546,1988,Swasta,297449,Sarjana,Sarjana,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Male,14084,0,40,United-States,2,>50K
547,2004,Swasta,303565,Diploma,Kuliah,Belum-menikah,Pengelola Kebersihan,Punya Anak,2,Male,0,0,40,Germany,0,<=50K
548,1996,Swasta,96020,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
549,1992,Pengusaha perorangan,84119,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,2,<=50K
550,1942,Pengusaha berbadan hukum,130329,kelas 7-8,SMP_1,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,0,<=50K
551,1991,Swasta,199227,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,3,>50K
552,1981,Swasta,75742,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K
553,1981,Swasta,177905,SMA Grad,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,3908,0,40,United-States,0,<=50K
554,2000,Swasta,278155,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K
555,1991,Pengusaha perorangan,235271,Sarjana,Sarjana,Cerai,Sales,Tidak dalam Keluarga,1,Male,0,0,50,United-States,2,>50K
556,1946,,165694,Magister,Magister,Duda/Janda,,Tidak dalam Keluarga,1,Female,0,0,15,United-States,1,<=50K
557,1999,Swasta,234665,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,1,<=50K
558,1979,Swasta,114459,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,1,>50K
559,1993,Swasta,131568,kelas 9,SMP_2,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
560,2005,,308064,SMA Grad,SMA Grad,Belum-menikah,,Tidak dalam Keluarga,2,Female,0,0,40,United-States,0,<=50K
561,1974,Pengusaha perorangan,167380,kelas 7-8,SMP_1,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0,<=50K
562,1968,Swasta,215839,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,?,2,<=50K
563,2003,Swasta,162667,Sarjana,Sarjana,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,40,Columbia,0,<=50K
564,2004,Swasta,137895,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,45,United-States,2,<=50K
565,1976,Swasta,209460,SMA Grad,SMA Grad,Cerai,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,3,<=50K
566,1986,Swasta,54317,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,60,United-States,3,<=50K
567,1988,Pemerintah negara,147258,Diploma,Kuliah,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,60,United-States,2,<=50K
568,1967,Swasta,298507,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,3103,0,40,United-States,3,>50K
569,1979,Pemerintah daerah,160472,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,1977,50,United-States,2,>50K
570,1960,,193043,SMA Grad,SMA Grad,Menikah,,Suami,1,Male,0,0,40,United-States,0,<=50K
571,1995,Swasta,93662,Diploma,Kuliah,Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,24,United-States,0,<=50K
572,1982,Pemerintah daerah,99554,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,0,<=50K
573,1963,Swasta,51170,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,55,United-States,1,<=50K
574,2000,Swasta,176389,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K
575,1988,Pengusaha perorangan,233533,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0,>50K
576,1967,Swasta,426263,Magister,Magister,Cerai,Eksekutif Manager,Belum Menikah,1,Male,0,0,40,United-States,1,>50K
577,1985,Swasta,24342,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,>50K
578,1976,Pengusaha perorangan,246891,Proffesor,Doktor,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0,<=50K
579,1983,Swasta,107584,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0,<=50K
580,1981,Pengusaha perorangan,240170,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,Germany,2,<=50K
581,1995,Swasta,81648,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,1887,55,United-States,3,>50K
582,1999,Pemerintah daerah,249214,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K
583,1978,Swasta,695411,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,44,United-States,3,<=50K
584,1990,,267352,kelas 11,SMA_2,Belum-menikah,,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K
585,1997,Pemerintah pusat,46442,Sarjana,Sarjana,Belum-menikah,Layanan Perlindungan,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K
586,1960,Swasta,75577,kelas 7-8,SMP_1,Menikah,Administratif dan Kantor,Suami,1,Male,2580,0,50,United-States,3,<=50K
587,1977,Pengusaha berbadan hukum,116927,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,42,United-States,2,>50K
588,2006,,157131,SMA Grad,SMA Grad,Belum-menikah,,Punya Anak,1,Female,0,0,12,United-States,0,<=50K
589,1971,Pengusaha perorangan,174102,kelas 7-8,SMP_1,Menikah,Eksekutif Manager,Suami,1,Male,4386,0,50,Greece,3,>50K
590,1983,Pemerintah daerah,176716,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,United-States,0,<=50K
591,1995,Swasta,301031,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,40,United-States,2,<=50K
592,1980,Swasta,171424,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1,>50K
593,1990,Swasta,216864,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,3770,45,United-States,0,<=50K
594,1978,Pemerintah pusat,97863,Asosiasi vokasional,vokasi Grad_2,Menikah,Administratif dan Kantor,Suami,1,Male,5178,0,40,United-States,1,>50K
595,1987,Swasta,305597,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,3,>50K
596,1989,Swasta,255702,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,27,United-States,0,<=50K
597,1990,Swasta,52537,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,2,Male,0,0,30,United-States,0,<=50K
598,1996,Swasta,161538,Sarjana,Sarjana,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K
599,1980,Pemerintah negara,96249,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,3411,0,40,United-States,2,<=50K
600,2003,Swasta,85088,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,37,United-States,0,<=50K
601,1983,Swasta,331651,Proffesor,Doktor,Menikah,Eksekutif Manager,Istri,1,Female,0,0,50,Japan,0,>50K
602,1980,Swasta,182370,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,<=50K
603,1990,Swasta,258170,SMA Grad,SMA Grad,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,38,United-States,1,<=50K
604,1986,Pengusaha perorangan,108947,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,7688,0,40,United-States,0,>50K
605,1991,Pengusaha perorangan,177828,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,50,United-States,1,<=50K
606,1978,Swasta,28225,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,58,United-States,1,<=50K
607,1965,Pemerintah daerah,93211,Sarjana,Sarjana,Menikah,Eksekutif Manager,Istri,1,Female,0,0,22,United-States,2,>50K
608,1979,Pemerintah daerah,331482,Asosiasi akademik,vokasi Grad_1,Cerai,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,3,<=50K
609,1995,Swasta,174163,Diploma,Kuliah,Cerai,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
610,1967,Swasta,548256,kelas 12,SMA_3,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,1,<=50K
611,1998,Swasta,290286,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,2,Male,0,0,40,United-States,0,<=50K
612,2001,Pengusaha perorangan,184370,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K
613,1997,Swasta,161683,kelas 11,SMA_2,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,42,United-States,1,<=50K
614,1991,Swasta,594187,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,2,>50K
615,1986,Swasta,204756,SMA Grad,SMA Grad,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,0,<=50K
616,1992,Swasta,169841,Diploma,Kuliah,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,55,United-States,3,<=50K
617,1993,Swasta,112062,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
618,1999,Pemerintah negara,257064,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,38,United-States,1,<=50K
619,1965,Pemerintah pusat,48102,Magister,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,?,0,>50K
620,1994,Swasta,208668,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,2,Female,0,0,25,United-States,0,<=50K
621,1992,Pemerintah negara,119033,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2,>50K
622,1985,Swasta,103710,SMA Grad,SMA Grad,Belum-menikah,Sales,Belum Menikah,1,Female,0,0,60,United-States,0,<=50K
623,1978,Swasta,188293,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
624,1982,Pemerintah daerah,159931,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,0,45,United-States,2,>50K
625,1983,Swasta,211731,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,Mexico,0,<=50K
626,1975,Pemerintah pusat,105586,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,3,Male,0,0,40,United-States,1,>50K
627,2005,Swasta,219189,kelas 12,SMA_3,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,25,United-States,0,<=50K
628,1999,Swasta,63062,Diploma,Kuliah,Belum-menikah,Pertanian dan Perikanan,Punya Anak,1,Male,0,0,60,United-States,0,<=50K
629,2000,Swasta,24243,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,1590,40,United-States,0,<=50K
630,1983,Pemerintah daerah,343079,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,1740,20,United-States,2,<=50K
631,1966,Swasta,223400,Asosiasi akademik,vokasi Grad_1,Menikah,Pembantu Rumah Tangga,Kerabat,1,Female,0,0,35,Poland,3,<=50K
632,1985,Swasta,138192,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,>50K
633,1977,Pemerintah negara,148171,Doktor,Proffesor,Cerai,Spesialis Profesional,Belum Menikah,1,Male,0,0,50,France,1,>50K
634,1995,Swasta,184078,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Kerabat,1,Female,0,0,40,United-States,0,<=50K
635,1988,Swasta,193026,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,3,>50K
636,1974,Swasta,180522,Diploma,Kuliah,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,38,United-States,0,<=50K
637,1999,Pengusaha perorangan,217030,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,30,United-States,0,<=50K
638,2004,Swasta,85041,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,20,United-States,0,<=50K
639,1983,Swasta,118212,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,3103,0,40,United-States,0,>50K
640,1988,Swasta,76417,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,52,United-States,1,<=50K
641,1959,Pengusaha berbadan hukum,210381,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,99999,0,65,United-States,3,>50K
642,1989,Swasta,207066,Sarjana,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,10520,0,45,United-States,0,>50K
643,1971,Pengusaha perorangan,98829,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0,<=50K
644,1975,Swasta,122066,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,30,Hungary,0,<=50K
645,1981,Swasta,133584,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1,<=50K
646,1966,Pengusaha berbadan hukum,181974,Doktor,Proffesor,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,99,?,0,<=50K
647,1997,Swasta,217200,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
648,1967,Pengusaha perorangan,327901,kelas 10,SMA_1,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,<=50K
649,2000,Swasta,182342,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
650,1989,,119006,SMA Grad,SMA Grad,Duda/Janda,,Punya Anak,1,Female,0,0,38,United-States,3,<=50K
651,1981,Swasta,183765,Diploma,Kuliah,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Male,0,0,40,?,2,>50K
652,1990,Pengusaha berbadan hukum,314375,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,60,United-States,2,>50K
653,1961,Pengusaha perorangan,404547,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,30,United-States,0,<=50K
654,1964,,191024,SMA Grad,SMA Grad,Menikah,,Suami,1,Male,0,0,40,United-States,1,<=50K
655,1994,,203834,Sarjana,Sarjana,Belum-menikah,,Tidak dalam Keluarga,3,Female,0,0,50,Taiwan,0,<=50K
656,2006,Swasta,238867,kelas 11,SMA_2,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,1602,40,United-States,0,<=50K
657,1960,Pengusaha perorangan,289741,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,20,United-States,1,<=50K
658,1987,Swasta,380614,Asosiasi akademik,vokasi Grad_1,Menikah,Spesialis Profesional,Istri,1,Female,0,0,13,United-States,3,>50K
659,1959,,117162,Asosiasi vokasional,vokasi Grad_2,Menikah,,Istri,1,Female,0,0,56,United-States,3,>50K
660,1983,Pengusaha berbadan hukum,299813,kelas 9,SMP_2,Menikah,Sales,Istri,1,Female,0,0,70,Dominican-Republic,3,<=50K
661,1985,Pemerintah daerah,352628,Asosiasi akademik,vokasi Grad_1,Menikah,Pekerjaan Kerajinan,Istri,1,Female,0,0,50,United-States,1,>50K
662,1972,Swasta,163678,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,55,United-States,2,<=50K
663,1972,Pengusaha perorangan,195462,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,98,United-States,1,>50K
664,1970,Swasta,146834,kelas 10,SMA_1,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,60,United-States,3,<=50K
665,1996,Swasta,48894,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,2,<=50K
666,2001,Pemerintah negara,103588,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Male,0,0,25,United-States,0,<=50K
667,2006,Swasta,187240,kelas 11,SMA_2,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,0,18,United-States,0,<=50K
